simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.123368	10004.1	349.226
30	9597	504	0	40.6403	9882.51	453.672
60	9629	32	0	40.8079	9881.55	453.734
90	9662	33	0	41.722	9879.63	453.747
120	9698	36	0	41.2725	9876.65	453.756
150	9754	56	0	41.6743	9873.35	453.766
180	9816	62	0	41.8218	9870.78	453.774
210	9882	66	0	43.424	9868.55	453.782
240	9977	95	0	41.5591	9865.93	453.79
270	10057	80	0	44.134	9864.08	453.797
300	10171	114	0	42.2527	9861.94	453.802
330	10288	117	0	42.8209	9859.3	453.809
360	10410	126	4	42.5746	9857.12	453.814
390	10556	154	8	44.0572	9854.94	453.819
420	10723	173	6	43.1312	9852.12	453.825
450	10933	214	4	43.6429	9849.26	453.83
480	11153	226	6	44.4658	9846.04	453.835
510	11412	266	7	48.8024	9843.27	453.839
540	11642	235	5	44.613	9840.98	453.841
570	11809	174	7	45.1821	9838.73	453.846
600	11954	150	5	45.4536	9836.82	453.851
630	12145	199	8	50.9073	9834.21	453.856
660	12410	273	8	46.8528	9831.73	453.861
690	12514	113	9	49.0913	9830.22	453.866
720	12555	55	14	48.7009	9828.9	453.871
750	12595	56	16	50.5579	9827.25	453.878
780	12659	74	10	48.1749	9824.87	453.886
810	12740	93	12	53.4131	9823.41	453.893
840	12831	99	8	48.5545	9822.03	453.897
870	12927	104	8	50.1918	9820.26	453.903
900	13044	126	9	48.3276	9819.06	453.908
930	13163	133	14	50.6243	9817.91	453.912
960	13307	155	11	49.6657	9816.7	453.915
990	13482	183	8	48.2059	9815.43	453.918
1020	13662	195	15	49.6417	9814.13	453.92
1050	13854	210	18	50.1302	9812.54	453.922
1080	14101	258	11	48.3342	9811.09	453.924
1110	14383	294	12	48.9512	9809.25	453.926
1140	14702	334	15	50.1199	9807.79	453.927
1170	14993	298	7	50.7296	9806.51	453.927
1200	15218	233	8	51.7956	9805.51	453.928
1230	15431	216	3	58.4856	9804.02	453.931
1260	15671	247	7	54.4214	9801.75	453.935
1290	15946	288	13	54.1633	9800.33	453.937
1320	16152	214	8	58.9079	9799.3	453.939
1350	16249	106	9	55.1561	9797.73	453.944
1380	16319	85	15	56.327	9796.9	453.949
1410	16398	86	7	54.381	9795.16	453.956
1440	16494	108	12	53.222	9794.69	453.96
1440.02	16502	9	1	0.725417	9794.69	453.96
