simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.139441	18999	274.461
30	9896	792	0	37.1814	2.82214e-08	451.199
60	9997	101	0	38.1546	3.70382e-20	451.364
90	10088	91	0	38.0992	6.09002e-32	451.634
120	10199	111	0	38.286	2.70081e-43	451.721
150	10309	110	0	37.7525	4.69009e-54	451.729
180	10436	127	0	37.8118	2.61087e-64	451.732
210	10547	111	0	37.4373	2.63393e-74	451.741
240	10660	113	0	37.3754	3.17392e-84	451.753
270	10809	149	0	37.8427	3.78193e-94	451.768
300	10968	159	0	37.6524	4.05615e-104	451.782
330	11124	156	0	38.096	3.83746e-114	451.796
360	11311	188	1	38.006	3.10938e-124	451.808
390	11512	213	12	38.6175	2.16233e-134	451.822
420	11706	263	69	38.7102	1.24554e-144	451.835
450	11806	297	197	39.234	5.8084e-155	451.849
480	11821	389	374	39.1674	2.17489e-165	451.865
510	11558	426	689	39.1923	6.36507e-176	451.879
540	11034	377	901	39.0136	1.43815e-186	451.895
570	10405	286	915	38.8572	2.54817e-197	451.914
600	9953	218	670	38.336	3.50095e-208	451.936
630	9906	312	359	38.2396	3.72969e-219	451.962
660	10147	421	180	37.6995	2.88127e-230	451.989
690	10260	209	96	38.0782	1.63017e-241	452.017
720	10322	105	43	38.2714	6.95984e-253	452.045
750	10375	89	36	38.6214	2.26022e-264	452.078
780	10507	151	19	39.1198	5.46067e-276	452.112
810	10656	172	23	39.6214	9.7957e-288	452.144
840	10833	199	22	39.7172	1.31871e-299	452.173
870	11038	219	14	39.7671	0	452.201
900	11281	263	20	39.774	0	452.228
930	11555	289	15	41.297	0	452.253
960	11839	306	22	40.9363	0	452.279
990	12136	315	18	42.6457	0	452.306
1020	12532	411	15	42.3184	0	452.332
1050	12970	456	18	43.9604	0	452.357
1080	13454	505	21	44.8443	0	452.383
1110	14167	730	17	44.8996	0	452.41
1140	14912	758	13	46.8763	0	452.437
1170	15646	747	13	48.9124	0	452.465
1200	16184	561	23	49.7706	0	452.497
1230	16655	491	20	50.4293	0	452.536
1260	17188	555	22	50.985	0	452.58
1290	17875	703	16	51.6153	0	452.627
1320	18351	498	22	52.9312	0	452.676
1350	18596	271	26	54.2671	0	452.725
1380	18773	198	21	54.3959	0	452.782
1410	18989	233	17	54.6442	0	452.841
1440	19264	309	34	55.6449	0	452.898
1440.02	19286	23	1	0.590828	0	452.898
