simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.10253	10004.1	349.226
30	9610	517	0	37.6299	9886.2	453.54
60	9638	28	0	37.7417	9885.22	453.599
90	9664	26	0	37.7089	9887.85	453.647
120	9703	39	0	37.8039	9895.1	453.662
150	9741	38	0	37.7582	9901.67	453.668
180	9778	37	0	37.518	9905.4	453.674
210	9837	59	0	37.6943	9905.24	453.681
240	9896	59	0	37.7314	9904.05	453.688
270	9956	60	0	37.6069	9902.32	453.695
300	10038	82	0	37.655	9899.87	453.701
330	10131	93	0	38.3331	9897.81	453.706
360	10212	83	2	38.2256	9895.73	453.712
390	10321	113	4	38.156	9892.94	453.718
420	10431	131	21	38.4272	9889.83	453.724
450	10537	138	32	38.4147	9886.69	453.731
480	10652	186	71	39.7311	9882.74	453.738
510	10705	183	130	38.6817	9878.84	453.745
540	10713	171	163	39.0664	9874.86	453.753
570	10680	145	178	38.8145	9870.71	453.762
600	10696	134	118	39.0415	9866.4	453.773
630	10817	181	60	39.5385	9861.86	453.784
660	11040	262	39	39.4127	9856.67	453.794
690	11116	96	20	40.2381	9852.94	453.804
720	11143	44	17	39.8014	9850.54	453.812
750	11186	52	9	39.7168	9848.04	453.823
780	11231	57	12	39.7403	9845.92	453.831
810	11290	70	11	40.025	9843.84	453.839
840	11361	78	7	39.8413	9841.78	453.846
870	11450	95	6	40.0416	9840.11	453.852
900	11548	106	8	40.2177	9838.19	453.859
930	11667	122	3	42.3676	9836.87	453.863
960	11791	137	13	40.6124	9835.13	453.866
990	11935	150	6	40.8401	9833.8	453.87
1020	12123	194	6	40.8187	9831.84	453.874
1050	12306	192	9	41.6552	9830.96	453.875
1080	12517	225	14	41.7329	9829.35	453.877
1110	12753	241	5	42.2631	9827.02	453.881
1140	13012	270	11	44.1418	9825.51	453.881
1170	13269	265	8	44.052	9824.2	453.882
1200	13494	233	8	44.5587	9822.71	453.884
1230	13674	187	7	45.5195	9821.03	453.887
1260	13907	240	7	45.1359	9819.22	453.891
1290	14196	295	6	45.6209	9817.35	453.894
1320	14357	173	12	45.8067	9816.71	453.896
1350	14437	90	10	46.0193	9815.66	453.9
1380	14483	62	16	46.0648	9814.74	453.907
1410	14542	74	15	46.4332	9812.83	453.916
1440	14621	93	14	46.5145	9811.76	453.921
1440.02	14622	2	1	0.249812	9811.75	453.921
