simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.106804	18999	274.461
30	9897	793	0	35.6269	2.85071e-08	451.9
60	9993	96	0	36.0956	3.71334e-20	452.096
90	10086	93	0	36.1305	4.30871e-32	452.143
120	10204	118	0	36.8052	4.41989e-44	452.176
150	10386	182	0	36.9236	3.8404e-56	452.206
180	10550	164	0	36.7272	2.68877e-68	452.236
210	10759	209	0	37.1093	1.47439e-80	452.268
240	10983	224	0	37.3853	6.20756e-93	452.299
270	11234	251	0	37.7857	1.97932e-105	452.329
300	11520	286	0	38.9315	4.8414e-118	452.357
330	11902	382	0	39.1771	9.02591e-131	452.386
360	12270	375	7	39.5594	1.26962e-143	452.414
390	12716	455	9	40.2552	1.35466e-156	452.442
420	13229	530	17	41.3213	1.0602e-169	452.471
450	13840	647	36	42.5495	5.92662e-183	452.501
480	14547	743	36	43.5344	2.30829e-196	452.531
510	15336	844	55	44.577	5.97681e-210	452.564
540	16073	789	52	45.6783	1.00257e-223	452.599
570	16571	560	62	47.0194	1.11048e-237	452.638
600	17049	527	49	47.5937	7.90796e-252	452.682
630	17651	636	34	48.8367	3.50737e-266	452.73
660	18522	899	28	50.1457	9.05524e-281	452.781
690	18910	413	25	50.7257	1.36699e-295	452.835
720	19079	195	26	51.1065	0	452.891
750	19270	228	37	51.3852	0	452.95
780	19541	298	27	51.9958	0	453.011
810	19863	348	26	52.5535	0	453.072
840	20158	316	21	53.0275	0	453.131
870	20560	429	27	53.8643	0	453.188
900	21006	474	28	54.8814	0	453.241
