simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.123901	10004.1	349.226
30	9587	494	0	44.6832	9883.72	453.616
60	9626	39	0	41.7011	9882.25	453.677
90	9646	20	0	41.5996	9881.77	453.707
120	9682	36	0	41.575	9882.91	453.722
150	9732	50	0	42.0338	9883.57	453.729
180	9780	48	0	42.9128	9882.56	453.737
210	9839	59	0	42.9244	9881.05	453.746
240	9903	64	0	41.941	9878.53	453.755
270	9973	70	0	41.7123	9876.17	453.763
300	10069	96	0	41.9566	9873.56	453.77
330	10166	97	0	44.6842	9871.19	453.777
360	10290	125	1	42.4798	9868.53	453.784
390	10424	136	2	42.4322	9865.3	453.79
420	10571	148	1	48.7218	9862.31	453.797
450	10712	162	21	43.3134	9859.5	453.803
480	10888	206	30	43.5446	9856.34	453.808
510	11095	261	54	43.924	9852.81	453.814
540	11250	238	83	45.197	9849.86	453.818
570	11376	185	59	44.467	9847.16	453.823
600	11478	151	49	45.1359	9845.17	453.828
630	11633	202	47	45.5845	9842.39	453.834
660	11896	288	25	47.5866	9839.26	453.84
690	12008	131	19	46.5053	9837.43	453.844
720	12046	51	13	46.9374	9835.68	453.852
750	12077	44	13	45.9638	9834.08	453.859
780	12134	70	13	46.0365	9831.71	453.868
810	12204	79	9	53.5404	9830.28	453.874
840	12279	82	7	48.0451	9828.19	453.882
870	12360	90	9	47.785	9826.53	453.888
900	12459	105	6	46.2701	9825.53	453.892
930	12581	128	6	46.9357	9824.07	453.896
960	12717	141	5	46.7927	9823.05	453.9
990	12868	159	8	50.8273	9821.44	453.904
1020	13033	178	13	48.3615	9820.01	453.907
1050	13214	189	8	47.3179	9818.95	453.909
1080	13425	225	14	48.0154	9817.61	453.911
1110	13689	271	7	48.9553	9815.74	453.912
1140	14006	322	5	50.9527	9813.96	453.913
1170	14324	331	13	53.2438	9812.54	453.913
1200	14584	265	5	51.6095	9810.79	453.915
1230	14819	243	8	56.0796	9809.11	453.917
1260	15047	237	9	53.9047	9807.72	453.919
1290	15337	300	10	63.7378	9806.56	453.92
1320	15543	218	12	62.8362	9805.09	453.923
1350	15636	97	4	53.365	9804.03	453.927
1380	15691	68	13	59.1255	9802.55	453.934
1410	15761	81	11	61.7775	9801.4	453.94
1440	15844	95	12	61.4924	9800.34	453.946
1440.02	15849	5	0	1.9351	9800.34	453.946
