simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.137968	10004.1	349.226
30	9609	516	0	43.5868	9880.81	453.46
60	9638	29	0	43.223	9879.85	453.514
90	9670	32	0	43.1461	9885.51	453.594
120	9705	35	0	42.8737	9899.67	453.626
150	9751	46	0	44.092	9912.49	453.627
180	9786	35	0	44.597	9920.33	453.631
210	9827	41	0	45.0084	9923.07	453.635
240	9858	31	0	40.4282	9923.34	453.64
270	9904	46	0	40.5294	9922.06	453.645
300	9958	54	0	42.2747	9920.42	453.65
330	10033	75	0	41.8677	9918.54	453.656
360	10110	79	2	41.4433	9916.37	453.661
390	10180	75	5	41.647	9914.1	453.666
420	10254	98	24	42.2249	9911.97	453.67
450	10305	115	64	42.4266	9909.45	453.675
480	10324	139	120	42.7855	9906.31	453.68
510	10272	173	225	42.5976	9902.82	453.685
540	10141	146	277	43.304	9899.52	453.692
570	9983	107	265	44.4628	9896.25	453.699
600	9924	123	182	43.0203	9892.83	453.707
630	9956	140	108	48.5483	9888.75	453.716
660	10125	219	50	43.0887	9883.9	453.725
690	10185	87	27	43.9175	9879.99	453.734
720	10223	55	17	43.8839	9876.31	453.745
750	10257	42	8	43.9768	9872.71	453.758
780	10299	46	4	44.2515	9868.93	453.771
810	10359	65	5	44.3005	9865.3	453.783
840	10413	63	9	45.0546	9861.38	453.795
870	10470	67	10	45.0402	9857.87	453.807
900	10546	83	7	49.1163	9855.24	453.814
930	10643	104	7	45.3489	9852.88	453.821
960	10759	117	1	48.6274	9850.98	453.827
990	10897	147	9	46.6642	9849.2	453.831
1020	11033	143	7	49.2574	9847.43	453.835
1050	11192	167	8	45.9044	9846.32	453.837
1080	11364	180	8	47.4055	9844.14	453.841
1110	11596	243	11	49.4436	9842.13	453.843
1140	11857	270	9	51.8223	9839.55	453.846
1170	12106	254	5	49.079	9837.84	453.846
1200	12285	187	8	50.1217	9836.55	453.848
1230	12472	193	6	52.8198	9835.33	453.85
1260	12666	201	7	54.0566	9833.61	453.855
1290	12914	256	8	58.1187	9831.32	453.86
1320	13083	180	11	57.1534	9829.69	453.864
1350	13185	107	5	58.0099	9828.64	453.867
1380	13250	75	10	57.9444	9827.6	453.873
1410	13311	73	12	51.4333	9825.91	453.881
1440	13369	75	17	51.3343	9825.01	453.887
1440.02	13375	9	3	0.481245	9825.01	453.887
