simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.102489	10004.1	349.226
30	9590	497	0	37.5802	9884.93	453.412
60	9615	25	0	38.0465	9884.8	453.463
90	9650	35	0	37.6734	9891.72	453.556
120	9687	37	0	37.8017	9907.55	453.59
150	9726	39	0	37.5313	9923.7	453.592
180	9773	47	0	37.073	9933.16	453.593
210	9790	17	0	40.1572	9937.26	453.597
240	9834	44	0	37.0051	9937.91	453.602
270	9867	33	0	36.8809	9937.54	453.606
300	9911	44	0	37.0152	9936.21	453.61
330	9968	57	0	37.5374	9934.72	453.614
360	10031	64	1	37.22	9933.22	453.618
390	10082	60	9	37.3009	9931.46	453.622
420	10120	68	30	37.4157	9929.58	453.626
450	10147	100	73	37.4809	9927.45	453.63
480	10110	121	158	37.5335	9924.99	453.634
510	10014	137	233	37.7665	9922.42	453.638
540	9807	124	331	37.3337	9919.48	453.643
570	9596	90	301	37.3025	9917.05	453.647
600	9478	88	206	37.2407	9914.13	453.654
630	9489	121	110	37.6898	9910.93	453.662
660	9616	180	53	37.2659	9906.75	453.67
690	9659	76	33	37.6349	9903.47	453.677
720	9662	20	17	37.6326	9900.56	453.685
750	9698	48	12	37.5272	9897.37	453.696
780	9750	60	8	37.6522	9894.11	453.707
810	9802	56	4	37.9464	9890.79	453.718
840	9844	45	3	37.8805	9887.48	453.727
870	9895	62	11	37.7117	9884.14	453.737
900	9940	53	8	37.9843	9880.92	453.746
930	10009	73	4	39.077	9877.91	453.755
960	10100	100	9	38.345	9874.94	453.763
990	10207	111	4	38.4006	9871.66	453.771
1020	10348	149	8	38.544	9868.26	453.778
1050	10450	110	8	38.6383	9865.32	453.785
1080	10604	161	7	38.776	9861.95	453.792
1110	10799	202	7	39.0317	9858.71	453.8
1140	11059	263	3	39.4939	9854.94	453.806
1170	11282	232	9	39.6931	9852.23	453.808
1200	11457	179	4	40.2181	9849.94	453.81
1230	11619	165	3	40.8036	9847.94	453.815
1260	11827	220	12	40.5456	9845.63	453.822
1290	12038	220	9	41.1331	9843.3	453.826
1320	12206	175	7	41.2599	9841.43	453.83
1350	12269	73	10	41.6229	9840.24	453.836
1380	12308	54	15	41.674	9838.74	453.843
1410	12390	88	6	41.8797	9836.84	453.853
1440	12484	102	8	42.7954	9835.4	453.86
1440.02	12490	6	0	0.244361	9835.4	453.86
