simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.138202	18999	274.461
30	9909	805	0	37.6056	2.83772e-08	451.552
60	9987	78	0	37.8199	3.76258e-20	451.724
90	10085	98	0	38.3048	5.1382e-32	451.882
120	10209	124	0	39.4591	1.05411e-43	451.95
150	10346	137	0	37.4055	3.97821e-55	451.968
180	10509	163	0	37.4765	2.19394e-66	451.982
210	10653	144	0	37.5899	1.39783e-77	452.003
240	10812	159	0	37.7163	8.45499e-89	452.024
270	11000	188	0	38.3756	4.49132e-100	452.045
300	11255	255	0	38.9734	1.97076e-111	452.067
330	11504	250	1	39.3392	6.99668e-123	452.088
360	11821	323	6	40.2793	1.99731e-134	452.108
390	12128	316	9	40.2431	4.48409e-146	452.13
420	12464	376	40	40.3636	7.95418e-158	452.151
450	12843	479	100	41.6858	1.07136e-169	452.173
480	13169	557	231	41.9143	1.07413e-181	452.197
510	13430	653	392	42.8103	7.78176e-194	452.22
540	13518	588	500	43.2386	4.03853e-206	452.246
570	13407	384	495	43.5404	1.51283e-218	452.273
600	13446	357	318	44.3148	4.05757e-231	452.307
630	13732	507	221	45.1341	7.56758e-244	452.346
660	14256	646	122	45.7092	9.15533e-257	452.385
690	14482	294	68	46.404	7.30295e-270	452.425
720	14603	157	36	46.3544	3.99327e-283	452.467
750	14752	180	31	46.7941	1.48494e-296	452.513
780	14923	204	33	46.6576	0	452.561
810	15175	272	20	46.8973	0	452.607
840	15426	272	21	48.6106	0	452.652
870	15687	289	28	48.6952	0	452.694
900	15980	321	28	48.5783	0	452.736
930	16384	430	26	50.0428	0	452.775
960	16858	497	23	50.0814	0	452.814
990	17393	566	31	51.2779	0	452.85
1020	17970	605	28	52.2318	0	452.887
1050	18649	706	27	52.901	0	452.924
1080	19419	790	20	54.9432	0	452.962
1110	20412	1027	34	55.6234	0	453.003
1140	21529	1144	27	56.5033	0	453.043
1170	22631	1126	24	59.1145	0	453.087
1200	23514	905	22	60.1248	0	453.138
1230	24222	732	24	62.1832	0	453.196
1260	25065	873	30	63.6385	0	453.257
1290	26146	1115	34	63.57	0	453.325
1320	26841	727	32	67.354	0	453.395
1350	27228	426	39	90.9489	0	453.47
1380	27509	319	38	70.8584	0	453.545
1410	27864	395	40	67.8459	0	453.628
1440	28318	494	40	70.6763	0	453.709
1440.02	28343	31	6	0.893458	0	453.709
