simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9093	9093	0	0.101852	10004.1	349.226
30	9613	520	0	37.8197	9880.43	453.424
60	9653	40	0	38.2521	9880.01	453.484
90	9676	23	0	38.1089	9886.4	453.572
120	9710	34	0	37.6216	9903.14	453.602
150	9742	32	0	37.3635	9920.77	453.603
180	9773	31	0	37.4609	9929.25	453.605
210	9809	36	0	37.3466	9932.77	453.608
240	9849	40	0	37.0725	9933.5	453.613
270	9884	35	0	37.1945	9932.8	453.617
300	9942	58	0	37.4104	9931.24	453.622
330	10006	64	0	37.6058	9929.77	453.626
360	10062	56	0	37.24	9928.1	453.63
390	10139	82	5	37.635	9926.43	453.634
420	10208	93	24	37.6084	9924.06	453.638
450	10232	97	73	37.8682	9921.94	453.642
480	10210	119	141	37.9688	9919.44	453.646
510	10075	126	261	37.9054	9916.54	453.652
540	9852	113	336	37.7776	9913.59	453.657
570	9689	130	293	37.6433	9910.41	453.663
600	9553	87	223	37.8446	9907.42	453.67
630	9579	140	114	38.0523	9904.02	453.677
660	9706	187	60	37.692	9899.69	453.685
690	9767	89	28	38.0489	9895.93	453.693
720	9797	42	12	45.7445	9893.12	453.702
750	9811	32	18	38.1693	9889.92	453.714
780	9839	39	11	38.1639	9886.67	453.725
810	9873	41	7	38.3659	9883.25	453.736
840	9921	54	6	37.9673	9879.74	453.747
870	9967	57	11	38.3325	9876.38	453.757
900	10032	70	5	38.3444	9872.96	453.767
930	10128	100	4	38.7578	9869.71	453.776
960	10224	99	3	39.5701	9866.69	453.784
990	10335	117	6	38.4754	9863.74	453.792
1020	10481	155	9	38.8575	9860.4	453.8
1050	10618	147	10	39.6152	9857.64	453.806
1080	10801	189	6	39.2351	9855.03	453.811
1110	11005	212	8	39.5332	9852.68	453.814
1140	11216	225	14	39.7877	9849.97	453.818
1170	11434	223	5	40.3664	9847.36	453.82
1200	11628	204	10	40.4608	9845.54	453.823
1230	11793	175	10	41.1262	9844.34	453.825
1260	11994	208	7	41.2347	9841.84	453.832
1290	12254	265	5	41.2135	9839.91	453.835
1320	12426	181	9	42.8259	9838.01	453.84
1350	12507	91	10	42.5322	9837.25	453.843
1380	12564	64	7	42.4288	9835.49	453.851
1410	12601	50	13	44.3038	9834.3	453.858
1440	12660	70	11	43.0757	9832.97	453.866
1440.02	12665	5	0	0.245391	9832.97	453.866
