simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.112037	18999	274.461
30	9899	795	0	36.7465	2.85267e-08	451.31
60	9992	93	0	37.2676	3.77156e-20	451.471
90	10088	96	0	36.7777	5.77997e-32	451.701
120	10192	104	0	36.9292	1.99068e-43	451.788
150	10330	138	0	37.1296	2.14564e-54	451.798
180	10434	104	0	37.0115	5.56982e-65	451.805
210	10563	129	0	36.9844	2.26541e-75	451.819
240	10705	142	0	37.12	1.04794e-85	451.835
270	10861	156	0	36.4791	4.73219e-96	451.851
300	11036	175	0	36.5668	1.88597e-106	451.868
330	11231	195	0	37.9451	6.37036e-117	451.884
360	11448	222	5	37.7664	1.80536e-127	451.899
390	11687	254	15	37.8965	4.15208e-138	451.916
420	11915	286	58	38.5748	7.73787e-149	451.931
450	12084	345	176	38.758	1.15605e-159	451.948
480	12215	439	308	39.7301	1.36468e-170	451.966
510	12139	483	559	39.9455	1.22269e-181	451.983
540	11772	448	815	39.8628	8.22158e-193	452.002
570	11315	324	781	39.3368	4.2197e-204	452.024
600	11067	302	550	38.4225	1.62869e-215	452.051
630	11108	367	326	38.6165	4.67205e-227	452.08
660	11400	472	180	38.9363	9.48596e-239	452.111
690	11552	244	92	38.8865	1.37752e-250	452.14
720	11614	102	40	39.6946	1.4714e-262	452.174
750	11728	145	31	40.1874	1.15254e-274	452.212
780	11865	153	16	39.6926	6.60172e-287	452.249
810	12057	205	13	39.8441	2.72222e-299	452.285
840	12243	206	20	40.9539	0	452.32
870	12459	233	17	41.2196	0	452.353
900	12712	278	25	41.5055	0	452.386
930	13012	316	16	42.137	0	452.416
960	13360	367	19	41.9796	0	452.446
990	13752	409	17	42.7119	0	452.474
1020	14188	457	21	43.0637	0	452.503
1050	14685	513	16	43.9412	0	452.531
1080	15300	637	22	44.831	0	452.56
1110	15994	719	25	45.9002	0	452.591
1140	16833	858	19	47.5836	0	452.623
1170	17731	914	16	48.5864	0	452.655
1200	18410	702	23	50.5563	0	452.692
1230	18981	592	21	51.639	0	452.737
1260	19635	669	15	52.0013	0	452.788
1290	20418	814	31	54.2835	0	452.842
1320	20974	577	21	54.7115	0	452.898
1350	21268	320	26	55.8197	0	452.956
1380	21473	228	23	56.5145	0	453.018
1410	21747	300	26	56.0802	0	453.083
1440	22070	357	34	56.5832	0	453.148
1440.02	22094	25	1	0.581033	0	453.148
