simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	9104	9104	0	0.135249	18999	274.461
30	9899	795	0	38.193	2.84258e-08	451.933
60	9991	92	0	38.4467	3.72059e-20	452.13
90	10084	93	0	38.7177	4.27845e-32	452.17
120	10224	140	0	38.4784	4.07913e-44	452.201
150	10389	165	0	38.2013	3.03211e-56	452.232
180	10559	170	0	38.7898	1.71631e-68	452.264
210	10754	195	0	40.7339	7.33706e-81	452.296
240	10988	234	0	39.9435	2.35794e-93	452.327
270	11264	276	0	40.9079	5.72234e-106	452.357
300	11565	301	0	40.9065	1.06196e-118	452.387
330	11938	373	0	41.9022	1.49851e-131	452.416
360	12335	402	5	42.3907	1.59418e-144	452.444
390	12801	479	13	42.9368	1.26006e-157	452.473
420	13302	514	13	43.7304	7.29158e-171	452.502
450	13949	662	15	45.2273	3.02126e-184	452.532
480	14687	752	14	46.7156	8.66456e-198	452.563
510	15556	882	13	48.6153	1.64804e-211	452.596
540	16329	790	17	49.986	2.01731e-225	452.633
570	16931	619	17	51.295	1.59961e-239	452.672
600	17414	500	17	51.7856	8.07049e-254	452.718
630	18070	679	23	52.2427	2.49822e-268	452.767
660	18943	897	24	53.5501	4.44779e-283	452.819
690	19334	419	28	55.0865	4.57492e-298	452.875
720	19520	211	25	55.991	0	452.933
750	19719	230	31	56.6811	0	452.992
780	19950	261	30	56.4071	0	453.055
810	20255	327	22	57.0147	0	453.116
840	20614	382	23	58.6927	0	453.176
870	21014	436	36	59.08	0	453.233
900	21485	509	38	59.7555	0	453.287
930	22006	558	37	60.4223	0	453.339
960	22615	641	32	61.5608	0	453.391
990	23377	794	32	60.585	0	453.441
1020	24150	814	41	62.4607	0	453.491
1050	25137	1013	26	65.822	0	453.539
1080	26275	1189	51	65.6519	0	453.59
1110	27640	1398	33	67.612	0	453.644
1140	29133	1532	39	71.483	0	453.7
1170	30666	1572	39	74.424	0	453.761
1200	31907	1287	46	76.3066	0	453.828
1230	32867	1004	44	79.3158	0	453.903
1260	34098	1273	42	81.5217	0	453.986
1290	35550	1490	38	84.0509	0	454.075
1320	36608	1105	47	86.1822	0	454.171
1350	37081	522	49	89.1285	0	454.269
1380	37492	456	45	89.7801	0	454.373
1410	37906	461	47	98.8822	0	454.479
1440	38420	573	59	102.112	0	454.588
1440.02	38460	43	3	1.28139	0	454.588
